DATE,TEAM_1,TEAM_2,WINNER,MARGIN,VENUE,CATEGORY_OF_WINNER
21-Jan-18,UAE,Scotland,Scotland,31 runs,ICC GCA,Yes
23-Jan-18,Bangladesh,Zimbabwe,Bangladesh,91 runs,Mirpur,Yes
23-Jan-18,UAE,Scotland,UAE,4 wickets,ICC GCA,Yes
25-Jan-18,Bangladesh,Sri Lanka,Sri Lanka,10 wickets,Mirpur,Yes
26-Jan-18,Australia,England,Australia,3 wickets,Adelaide,Yes
27-Jan-18,Bangladesh,Sri Lanka,Sri Lanka,79 runs,Mirpur,Yes
28-Jan-18,Australia,England,England,12 runs,Perth,Yes
1-Feb-18,South Africa,India,India,6 wickets,Kingsmead,Yes
4-Feb-18,South Africa,India,India,9 wickets,SuperSport Park,Yes
7-Feb-18,South Africa,India,India,124 runs,Newlands,Yes
9-Feb-18,Afganisthan,Zimbabwe,Afganisthan,154 runs,Sharjah,Yes
10-Feb-18,South Africa,India,South Africa,5 wickets,wanderer's Stadium,Yes
11-Feb-18,Afganisthan,Zimbabwe,Zimbabwe,154 runs,Sharjah,Yes
13-Feb-18,Afganisthan,Zimbabwe,Afganisthan,6 wickets,Sharjah,Yes
13-Feb-18,South Africa,India,India,73 runs,St George's Park,Yes
16-Feb-18,Afganisthan,Zimbabwe,Afganisthan,10 wickets,Sharjah,Yes
16-Feb-18,South Africa,India,India,8 wickets,SuperSport Park,Yes
19-Feb-18,Afganisthan,Zimbabwe,Afganisthan,146 runs,Sharjah,Yes
25-Feb-18,NewZeland,England,NewZeland,3 wickets,Seddon Park,Yes
28-Feb-18,NewZeland,England,England,6 wickets,Bay Oval,Yes
3-Mar-18,NewZeland,England,England,4 runs,Sky Stadium,Yes
4-Mar-18,Afganisthan,Scotland,Scotland,7 wickets,Bulawayo,Yes
4-Mar-18,UAE,PNG,UAE,56 runs,Harare,Yes
6-Mar-18,Hong Kong,Scotland,Scotland,4 wickets,Bulawayo,Yes
6-Mar-18,NewZeland,England,NewZeland,5 wickets,University Oval,Yes
6-Mar-18,PNG,Ireland,Ireland,4 wickets,Harare,Yes
6-Mar-18,UAE,West Indies,West Indies,60 runs,Old Hararians Sports Club,Yes
6-Mar-18,Zimbabwe,Afganisthan,Zimbabwe,2 runs,Queen's Park Oval,Yes
8-Mar-18,Afganisthan,Hong Kong,Hong Kong,30 runs,Bulawayo,Yes
8-Mar-18,PNG,West Indies,West Indies,6 wickets,Old Hararians Sports Club,Yes
10-Mar-18,NewZeland,England,England,7 wickets,Hagley Oval,Yes
10-Mar-18,Ireland,West Indies,West Indies,52 runs,Harare,Yes
10-Mar-18,Zimbabwe,Hong Kong,Zimbabwe,89 runs,Queen's Park Oval,Yes
12-Mar-18,Ireland,UAE,Ireland,226 runs,Old Hararians Sports Club,Yes
12-Mar-18,Zimbabwe,Scotland,NaN,NaN,Queen's Park Oval,No
